"","Temp","Ni1size","Ni2size","Ni3size","Ni4size","Ni5size","Ni6size"
"183",2,-2.86252016452968,-2.86252016452968,-2.86252016452968,-2.86252016452968,-2.86252016452968,-2.86252016452968
"184",3,-2.92673853024669,-2.92673853024669,-2.92673853024669,-2.92673853024669,-2.92673853024669,-2.92673853024669
"185",4,-2.98022273707115,-2.98022273707115,-2.98022273707115,-2.98022273707115,-2.98022273707115,-2.98022273707115
"186",5,-3.02707857393034,-3.02707857393034,-3.02707857393034,-3.02707857393034,-3.02707857393034,-3.02707857393034
"187",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"188",1,-2.51976404669913,-2.51976404669913,-2.51976404669913,-2.51976404669913,-2.51976404669913,-2.51976404669913
"189",2,-2.61176300317996,-2.61176300317996,-2.61176300317996,-2.61176300317996,-2.61176300317996,-2.61176300317996
"190",3,-2.68193216496333,-2.68193216496333,-2.68193216496333,-2.68193216496333,-2.68193216496333,-2.68193216496333
"191",4,-2.73746959364666,-2.73746959364666,-2.73746959364666,-2.73746959364666,-2.73746959364666,-2.73746959364666
"192",5,-2.78417572650216,-2.78417572650216,-2.78417572650216,-2.78417572650216,-2.78417572650216,-2.78417572650216
"193",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"194",1,-3.58325064376877,-3.58325064376877,-3.58325064376877,-3.58325064376877,-3.58325064376877,-3.58325064376877
"195",2,-3.7019289838381,-3.7019289838381,-3.7019289838381,-3.7019289838381,-3.7019289838381,-3.7019289838381
"196",3,-3.80169419575777,-3.80169419575777,-3.80169419575777,-3.80169419575777,-3.80169419575777,-3.80169419575777
"197",4,-3.88746866934213,-3.88746866934213,-3.88746866934213,-3.88746866934213,-3.88746866934213,-3.88746866934213
"198",5,-3.9625854521101,-3.9625854521101,-3.9625854521101,-3.9625854521101,-3.9625854521101,-3.9625854521101
"199",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"200",1,-2.98933152773251,-2.98933152773251,-2.98933152773251,-2.98933152773251,-2.98933152773251,-2.98933152773251
"201",2,-3.09450946489027,-3.09450946489027,-3.09450946489027,-3.09450946489027,-3.09450946489027,-3.09450946489027
"202",3,-3.18280877777824,-3.18280877777824,-3.18280877777824,-3.18280877777824,-3.18280877777824,-3.18280877777824
"203",4,-3.25905777049705,-3.25905777049705,-3.25905777049705,-3.25905777049705,-3.25905777049705,-3.25905777049705
"204",5,-3.32637159207783,-3.32637159207783,-3.32637159207783,-3.32637159207783,-3.32637159207783,-3.32637159207783
"205",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"206",1,-2.78428363219157,-2.78428363219157,-2.78428363219157,-2.78428363219157,-2.78428363219157,-2.78428363219157
"207",2,-2.86991684413341,-2.86991684413341,-2.86991684413341,-2.86991684413341,-2.86991684413341,-2.86991684413341
"208",3,-2.93880060283593,-2.93880060283593,-2.93880060283593,-2.93880060283593,-2.93880060283593,-2.93880060283593
"209",4,-2.99717532774197,-2.99717532774197,-2.99717532774197,-2.99717532774197,-2.99717532774197,-2.99717532774197
"210",5,-3.0488755243585,-3.0488755243585,-3.0488755243585,-3.0488755243585,-3.0488755243585,-3.0488755243585
"211",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"212",1,-2.52414891529027,-2.52414891529027,-2.52414891529027,-2.52414891529027,-2.52414891529027,-2.52414891529027
